CITY,PRICE,STATE,COUNTY,ZIPCODE,BEDROOMS,LATITUDE,BATHROOMS,LONGITUDE,STATEFIPS,COUNTYFIPS,LISTEDDATE,CREATEDDATE,LISTINGTYPE,ADDRESSLINE1,DAYSONMARKET,LASTSEENDATE,PROPERTYTYPE,SQUAREFOOTAGE
Austin,1495,TX,Travis,78759,3,30.432261,1.5,-97.769413,48,453,2025-12-02,2021-06-17,Standard,12005 Charing Cross Rd,47,2026-01-17,Apartment,800.0
Austin,1200,TX,Travis,78705,1,30.294714,1.0,-97.742966,48,453,2025-12-03,2022-07-12,Standard,2818 Nueces St,46,2026-01-17,Apartment,480.0
Austin,1200,TX,Travis,78705,1,30.298359,1.0,-97.733826,48,453,2025-12-04,2023-05-18,Standard,3405 Helms St,45,2026-01-17,Apartment,480.0
Austin,895,TX,Travis,78751,0,30.309102,1.0,-97.728468,48,453,2025-12-04,2025-06-12,Standard,4504 Speedway Ave,45,2026-01-17,Apartment,480.0
Austin,1595,TX,Travis,78750,2,30.36959,2.0,-97.788917,48,453,2025-11-22,2025-11-23,Standard,6804 N Capital Of Tx Hwy,57,2026-01-17,Condo,1197.0
Austin,2800,TX,Travis,78756,3,30.309954,2.0,-97.745467,48,453,2025-12-01,2019-06-09,Standard,1402 W 40th St,48,2026-01-17,Single Family,1407.0
Austin,1000,TX,Travis,78731,1,30.32664,1.0,-97.749256,48,453,2025-11-21,2019-11-13,Standard,5001 Bull Creek Rd,58,2026-01-17,Apartment,625.0
Austin,1400,TX,Travis,78704,2,30.232353,1.5,-97.776291,48,453,2025-11-20,2020-09-10,Standard,1210 Southport Dr,59,2026-01-17,Multi-Family,982.0
Austin,2200,TX,Travis,78754,4,30.368024,2.0,-97.650004,48,453,2025-11-20,2025-11-21,Standard,11113 Bachman Dr,59,2026-01-17,Single Family,2029.0
Austin,1250,TX,Travis,78705,1,30.297752,1.0,-97.732988,48,453,2025-12-10,2020-07-08,Standard,302 E 34th St,39,2026-01-17,Apartment,480.0
Austin,2400,TX,Travis,78705,2,30.289972,2.0,-97.744083,48,453,2025-11-20,2020-06-27,Standard,2529 Rio Grande St,59,2026-01-17,Condo,1017.0
Austin,2000,TX,Travis,78758,3,30.359296,2.0,-97.710772,48,453,2025-12-06,2023-05-04,Standard,1202 Artesian Cir,43,2026-01-17,Single Family,1500.0
Austin,1625,TX,Travis,78748,2,30.174305,2.0,-97.833078,48,453,2025-12-05,2023-09-22,Standard,2502 Howellwood Way,44,2026-01-17,Multi-Family,1775.0
Austin,1900,TX,Travis,78744,2,30.153699,2.5,-97.715165,48,453,2025-12-02,2024-11-15,Standard,8002 Mandela Bnd,47,2026-01-17,Single Family,1088.0
